Institution,Year of Study,GPA,Loadshedding Frequency,Loadshedding Duration,Loadshedding Impact,Student ID
Stellenbosch University,2,0.5682049603455888,2,3.773845459492055,Severe,19218
University of Johannesburg,1,0.1617332745588323,1,9.878689263902958,Severe,60768
University of KwaZulu-Natal,1,3.035429676637635,4,22.78066052898789,Moderate,90937
University of Pretoria,1,3.108404189436484,0,17.95385101873418,Moderate,47171
University of Cape Town,3,1.966719932218142,3,2.585008663863175,None,63879
Stellenbosch University,3,0.0,5,22.45018344646788,Severe,59231
University of Johannesburg,3,2.191756079971883,3,21.5748674106246,None,77417
University of KwaZulu-Natal,1,1.518146185189348,1,9.044556043657003,None,17821
University of Pretoria,2,3.505424836357077,6,0.6059300086652213,Moderate,43606
University of Cape Town,2,3.712370559479622,3,6.085558137851395,Moderate,16527
Stellenbosch University,1,0.0,5,18.42250425465959,Severe,25096
University of Johannesburg,4,1.207595386404574,5,8.308216851802971,None,57677
University of KwaZulu-Natal,2,2.411420999935186,0,8.696541375141582,Moderate,71176
University of Pretoria,4,0.5319827815594804,0,20.92777656811569,Severe,55551
University of Cape Town,2,1.218403691888817,1,13.30263266687675,None,44816
Stellenbosch University,4,3.205550068590028,2,7.043586235822871,Moderate,40190
University of Johannesburg,2,0.0,6,12.65009080938505,Severe,58832
University of KwaZulu-Natal,4,2.523441269811974,1,20.69714566538337,Moderate,33444
University of Pretoria,3,3.372136033839523,0,1.125139100315304,Moderate,25791
University of Cape Town,3,0.9270562530151146,6,10.40357146468339,Severe,24517
Stellenbosch University,3,2.040711695843636,0,3.346284864742546,None,13958
University of Johannesburg,3,0.3933316515216086,3,12.41421217488344,Severe,73124
University of KwaZulu-Natal,2,3.159606270480063,1,9.265598806637255,Moderate,24189
University of Pretoria,3,0.7336621286823918,3,2.226493985633625,Severe,36514
University of Cape Town,4,0.09624882790977862,5,17.16959937556895,Severe,55516
Stellenbosch University,2,1.749257364172227,4,3.898667507665685,None,44826
University of Johannesburg,1,2.22809342523497,5,22.41229012414952,None,12914
University of KwaZulu-Natal,2,1.418798836960874,1,11.59692583023543,None,85187
University of Pretoria,1,1.150357550267802,5,12.28459881935455,None,28434
University of Cape Town,3,3.675898223630986,4,8.005428287201998,Moderate,60294
Stellenbosch University,3,0.157296916483231,2,23.08594664153379,Severe,56084
University of Johannesburg,1,0.4980718527151347,4,6.506454980689974,Severe,44079
University of KwaZulu-Natal,4,3.178046074522642,4,19.61293467950851,Moderate,37247
University of Pretoria,1,1.887948609385111,2,11.69604210383024,None,87331
University of Cape Town,4,1.049876057073189,4,19.59402777965244,Severe,86112
Stellenbosch University,4,3.068700180621168,0,6.100814231906674,Moderate,32305
University of Johannesburg,4,3.107022262292973,1,20.07239161939142,Moderate,68451
University of KwaZulu-Natal,1,1.226214284505097,0,14.71113218967653,None,83247
University of Pretoria,4,1.434157697946952,2,10.24755531241506,None,29163
University of Cape Town,1,0.3741970926023548,4,16.09835358715996,Severe,62392
Stellenbosch University,1,1.617436880558841,3,20.49961367876052,None,41880
University of Johannesburg,3,0.4900216996358164,3,21.66263230245938,Severe,30672
University of KwaZulu-Natal,3,2.125648755248061,3,2.487546835352615,None,92519
University of Pretoria,2,3.058307543706139,6,14.78046556971478,Moderate,13822
University of Cape Town,3,0.750398202628356,4,6.933073889662977,Severe,74047
Stellenbosch University,3,0.2373212151891685,5,18.95510920185971,Severe,10389
University of Johannesburg,2,0.0,6,22.37200776925567,Severe,94035
University of KwaZulu-Natal,4,3.180952550613448,3,9.40054638534576,Moderate,64721
University of Pretoria,2,3.224449175187147,3,20.12260570987435,Moderate,48867
University of Cape Town,4,2.863915504001458,3,7.339646941266111,Moderate,23974
Stellenbosch University,4,2.371340937798319,4,0.09715098297963731,None,41659
University of Johannesburg,1,2.914855893333237,3,17.71740779615802,Moderate,23199
University of KwaZulu-Natal,1,0.8568972563321587,5,2.088773774595623,Severe,86987
University of Pretoria,1,2.453826762911985,5,22.42704188065348,Moderate,69719
University of Cape Town,1,3.685852526517091,0,3.147998889450891,Moderate,76824
Stellenbosch University,4,0.88332135170639,4,21.39639517202333,Severe,64386
University of Johannesburg,3,1.972905995601337,0,7.646812973184137,None,62628
University of KwaZulu-Natal,4,3.734418753154486,2,6.889143778288757,Moderate,69547
University of Pretoria,4,0.0,6,17.36065035787593,Severe,98077
University of Cape Town,2,1.10855949616093,2,11.44632164524561,None,41655
Stellenbosch University,4,1.725832042708794,2,21.69189755549311,None,43056
University of Johannesburg,3,2.250275792690135,6,9.00798014905243,None,77283
University of KwaZulu-Natal,4,1.169053107938214,1,18.40784784364558,None,57994
University of Pretoria,2,2.77143252331473,3,18.1822662874506,Moderate,54403
University of Cape Town,4,3.842320250895428,1,3.513681564628592,Moderate,71733
Stellenbosch University,2,2.645793608648516,5,12.91566943887964,Moderate,50451
University of Johannesburg,1,3.438380449735472,3,8.178106338388837,Moderate,19538
University of KwaZulu-Natal,4,3.161678156711779,1,8.115789669507034,Moderate,58107
University of Pretoria,4,3.279741828042298,1,1.264827052707319,Moderate,41765
University of Cape Town,1,2.605270223158787,0,6.386991836729478,Moderate,37655
Stellenbosch University,4,2.551318385868446,3,20.99313203558275,Moderate,76278
University of Johannesburg,4,0.0,6,18.11058686293521,Severe,43276
University of KwaZulu-Natal,3,0.0,5,21.90019776065491,Severe,94179
University of Pretoria,2,0.9051599549253001,1,23.72421053924512,Severe,69002
University of Cape Town,3,1.06685786601471,4,10.10021738629643,None,46598
Stellenbosch University,2,0.0,5,23.98761302763359,Severe,90844
University of Johannesburg,4,0.7788989745965205,4,20.35379788281283,Severe,59891
University of KwaZulu-Natal,4,0.0,6,21.39552020765809,Severe,46589
University of Pretoria,1,1.811860603625789,2,14.75390266988897,None,19186
University of Cape Town,1,3.50851157774405,1,8.965613661842845,Moderate,76281
Stellenbosch University,3,1.301011062343825,5,8.533360716256961,None,56335
University of Johannesburg,1,3.389448012157569,5,0.6137118214564854,Moderate,50323
University of KwaZulu-Natal,1,3.885844753860002,3,2.576551643800681,Moderate,53811
University of Pretoria,2,1.544832064268321,3,13.16435654716243,None,54321
University of Cape Town,2,0.4979304584437427,1,17.83175912681228,Severe,18483
Stellenbosch University,3,2.026204704200948,4,8.829699836790065,None,68764
University of Johannesburg,1,2.919567419624902,5,7.733936624645959,Moderate,49628
University of KwaZulu-Natal,3,0.634444759089346,2,1.29111362191253,Severe,66209
University of Pretoria,2,1.206148000392688,4,4.709982492099685,None,86918
University of Cape Town,3,3.764172586193252,1,6.525627776934628,Moderate,55669
Stellenbosch University,4,3.006427329523251,1,10.26585034608526,Moderate,34477
University of Johannesburg,1,2.052093898413252,4,12.32296533170379,None,62096
University of KwaZulu-Natal,4,3.084357763391921,5,4.51008804072691,Moderate,10487
University of Pretoria,1,0.7893694600283212,3,9.11646857459345,Severe,78291
University of Cape Town,2,3.016974136472926,3,2.193401110432354,Moderate,97649
Stellenbosch University,4,1.961097747822221,0,9.01691506888971,None,15101
University of Johannesburg,2,1.324078010435175,2,2.096197959341509,None,91921
University of KwaZulu-Natal,3,3.221261375380141,3,17.12685421824877,Moderate,40253
University of Pretoria,4,2.086118982648683,0,4.227257056199017,None,95566
University of Cape Town,2,2.592108757460074,5,13.86580101029501,Moderate,34975
Stellenbosch University,1,0.0,5,16.45043380988158,Severe,79849
University of Johannesburg,3,0.0,4,12.96757077751162,Severe,69234
University of KwaZulu-Natal,1,3.509619301412755,5,5.363265002345329,Moderate,14793
University of Pretoria,2,1.057744257927849,4,13.04825256020917,Severe,98758
University of Cape Town,4,0.9178275841246863,3,16.67143957230181,Severe,20773
Stellenbosch University,4,1.681201235100673,0,19.87396927290795,None,62559
University of Johannesburg,1,2.957825446698359,3,17.26410750079359,Moderate,41242
University of KwaZulu-Natal,2,3.073801031483175,3,7.175680525783408,Moderate,60977
University of Pretoria,4,3.55175935233031,2,15.2787189088804,Moderate,68730
University of Cape Town,1,0.9629643970448285,0,21.54120019013526,Severe,83107
Stellenbosch University,3,0.05089927049677527,5,2.090336246354298,Severe,26999
University of Johannesburg,3,2.149823625981161,1,21.8278673869124,None,68604
University of KwaZulu-Natal,3,0.9897643907125389,2,22.51680165052392,Severe,40713
University of Pretoria,1,1.292342552447869,0,10.6793890743372,None,66093
University of Cape Town,2,0.7928246637971874,4,21.62690546233548,Severe,64407
Stellenbosch University,3,0.486627664526758,3,6.229886117159867,Severe,68884
University of Johannesburg,1,1.33425839943562,1,11.75606890752356,None,31732
University of KwaZulu-Natal,4,1.094292958539015,1,17.88881281852301,None,86946
University of Pretoria,3,2.09592584092568,2,15.98736833206154,None,35741
University of Cape Town,1,0.05158276288342584,4,11.21974776319872,Severe,86147
Stellenbosch University,3,2.051004905825017,2,23.460784586302,None,50888
University of Johannesburg,3,2.298770429381077,0,11.01587619657325,None,41049
University of KwaZulu-Natal,3,1.940888156351721,2,4.160972402544734,None,61172
University of Pretoria,3,3.688393820715236,6,3.884915267566797,Moderate,31327
University of Cape Town,4,2.240100371527613,1,9.403418972818564,None,31125
Stellenbosch University,3,0.2750655289790445,5,21.43777320811273,Severe,29995
University of Johannesburg,1,0.3254074103781502,4,17.64239794808601,Severe,46711
University of KwaZulu-Natal,2,2.089451226870902,1,2.664282624044197,None,50236
University of Pretoria,2,0.07815150050141173,6,10.74292392422757,Severe,90237
University of Cape Town,2,1.785998209196646,6,7.494414905990237,None,84299
Stellenbosch University,1,0.2735092583115738,2,13.69822659720776,Severe,53197
University of Johannesburg,3,0.7917470157896972,4,16.84065054717098,Severe,44168
University of KwaZulu-Natal,2,1.458627280871144,6,22.5984204750173,None,73764
University of Pretoria,4,2.245702711503284,6,5.443824717937674,None,30013
University of Cape Town,3,2.919262199287176,4,13.98259843727845,Moderate,39837
Stellenbosch University,3,3.6086190620152,1,15.8669958969221,Moderate,43566
University of Johannesburg,1,2.076139486269208,6,11.01914337291661,None,56251
University of KwaZulu-Natal,1,2.403294209567992,6,10.30819376651031,None,23438
University of Pretoria,2,0.1944494754370869,1,6.902796184818594,Severe,13651
University of Cape Town,2,0.6445477841941594,5,2.659312654586308,Severe,32662
Stellenbosch University,2,1.62606069730164,6,6.036186221572241,None,94665
University of Johannesburg,3,0.277217139974572,1,7.674238755440775,Severe,48685
University of KwaZulu-Natal,2,1.692028750831898,4,17.80304173885289,None,82545
University of Pretoria,4,1.270775314553678,2,22.80892902643834,None,13863
University of Cape Town,2,1.420333593922244,0,7.952481828244445,None,73638
Stellenbosch University,1,0.0,1,15.13278237873879,Severe,31377
University of Johannesburg,3,0.0,4,18.79025632503865,Severe,44199
University of KwaZulu-Natal,2,3.126596780405809,2,17.26359791384387,Moderate,87813
University of Pretoria,1,0.03652462130644785,5,12.34563533788337,Severe,92506
University of Cape Town,1,1.940566025378966,0,21.43393175816492,None,10900
Stellenbosch University,1,2.661296676907669,1,0.1775628694649685,Moderate,84742
University of Johannesburg,2,0.06615999890176116,0,4.544302595525195,Severe,27598
University of KwaZulu-Natal,1,2.293915042351359,1,22.52152553315989,None,32985
University of Pretoria,2,0.0,6,21.57465603819134,Severe,88398
University of Cape Town,2,3.420289280055086,4,6.713940496108672,Moderate,18875
Stellenbosch University,2,3.849787656413417,1,11.76083198580989,Moderate,73807
University of Johannesburg,1,0.09517644564753133,3,5.10412152914637,Severe,72828
University of KwaZulu-Natal,2,1.158713776140721,1,12.70419445103801,None,49542
University of Pretoria,2,1.908998911531046,5,7.757883262855215,None,84228
University of Cape Town,2,2.290546448293345,1,2.053330452993696,None,82945
Stellenbosch University,2,2.946645942579774,0,6.125743712184845,Moderate,70970
University of Johannesburg,3,2.051802421375538,1,0.6763248822652157,None,54087
University of KwaZulu-Natal,3,2.348414189670216,5,9.307719846820527,None,76055
University of Pretoria,4,3.394700229360084,2,5.660845432648606,Moderate,91603
University of Cape Town,4,1.12036033637251,3,1.225247477932506,None,54877
Stellenbosch University,1,1.960356943962316,5,3.664319252560528,None,51331
University of Johannesburg,1,3.167620172886572,4,3.140391411938832,Moderate,89043
University of KwaZulu-Natal,4,2.348478371983698,1,16.2738111521462,None,47659
University of Pretoria,4,0.0,3,17.35806674348642,Severe,89114
University of Cape Town,3,3.664225742510115,2,0.2259027528105433,Moderate,71651
Stellenbosch University,1,3.336398726942759,5,0.3065241096257454,Moderate,53932
University of Johannesburg,3,0.0,4,2.781128811947201,Severe,79480
University of KwaZulu-Natal,3,0.0,2,18.19749388697822,Severe,98383
University of Pretoria,1,0.2032592602928671,1,2.342264562964339,Severe,55584
University of Cape Town,2,0.0,6,21.65779068880165,Severe,48541
Stellenbosch University,2,1.120291273920621,0,3.460212102293486,None,46290
University of Johannesburg,4,1.607212047771971,2,20.9534637032709,None,79349
University of KwaZulu-Natal,2,2.043722141451681,5,2.752649180492707,None,96052
University of Pretoria,4,0.7154468696206241,5,7.176951924747807,Severe,81310
University of Cape Town,2,3.576791993535105,4,1.159149331290575,Moderate,50025
Stellenbosch University,3,1.12938002729538,1,1.254461683858997,None,21885
University of Johannesburg,3,3.023513151362535,1,17.83667755292425,Moderate,88676
University of KwaZulu-Natal,3,3.843966074277336,0,19.70824954539355,Moderate,66709
University of Pretoria,2,2.770951628483505,0,0.6868960934480457,Moderate,83370
University of Cape Town,4,0.211192593945383,2,4.583590121785648,Severe,94207
Stellenbosch University,2,1.930196411891864,3,5.105846889119327,None,85187
University of Johannesburg,2,0.6589730558795643,1,20.8271817379192,Severe,69439
University of KwaZulu-Natal,1,2.795933166831666,3,6.190497172265624,Moderate,47614
University of Pretoria,4,0.8083633373093269,1,14.85273093582171,Severe,50258
University of Cape Town,2,1.547977152699147,3,5.650290299469544,None,43865
Stellenbosch University,3,2.153209970915073,5,0.5543718166775058,None,31179
University of Johannesburg,2,3.088694271369651,3,14.64510442373725,Moderate,49915
University of KwaZulu-Natal,3,2.399079674500803,2,3.864003031577366,Moderate,65467
University of Pretoria,2,0.2970096376241384,6,6.044710805284867,Severe,46457
University of Cape Town,4,1.474385390884719,2,6.180517162849674,None,63702
Stellenbosch University,3,1.394889363942949,1,6.591358945456473,None,96538
University of Johannesburg,2,1.416205448212986,4,17.72573643379147,None,75467
University of KwaZulu-Natal,2,1.182446798551978,5,1.331993415082106,None,33308
University of Pretoria,2,0.0,2,23.6345954679155,Severe,75372
University of Cape Town,1,1.485544445806148,6,0.1463948099310519,None,19908
Stellenbosch University,3,2.320726682702931,3,18.95646698516192,None,75695
University of Johannesburg,1,2.784601112199256,2,14.44867794604352,Moderate,48626
University of KwaZulu-Natal,1,0.2011550993281852,1,14.82712714769945,Severe,66871
University of Pretoria,3,2.602858026773078,6,0.922584258047249,Moderate,98587
University of Cape Town,3,0.3764856988274272,1,17.71548721281993,Severe,93558
Stellenbosch University,2,0.6659181644512354,1,20.8133586135287,Severe,50925
University of Johannesburg,1,3.582932158928339,3,7.275444424908405,Moderate,18159
University of KwaZulu-Natal,1,0.1283906816526369,1,5.978161319091469,Severe,73026
University of Pretoria,2,0.0,4,8.252272919151046,Severe,45468
University of Cape Town,3,0.9015983232674026,6,12.49089453403507,Severe,31527
Stellenbosch University,4,0.4585875753802779,2,21.85341316139856,Severe,61517
University of Johannesburg,3,0.8422349876680743,3,23.44411199446762,Severe,86696
University of KwaZulu-Natal,4,3.03357501662016,3,16.34506272925896,Moderate,44217
University of Pretoria,2,1.405613196006799,4,20.82827339896163,None,84103
University of Cape Town,2,0.4586185152736193,0,15.13078409602846,Severe,90094
Stellenbosch University,2,0.1911264422398328,3,13.45654627629065,Severe,91092
University of Johannesburg,4,0.8638386572183717,3,9.689378461681605,Severe,18219
University of KwaZulu-Natal,2,2.183365163459131,0,6.983512812915963,None,67007
University of Pretoria,1,1.110344932754861,5,23.77556762987706,None,62746
University of Cape Town,2,0.2460171413867209,4,18.12774720041677,Severe,37236
Stellenbosch University,4,2.734529213246041,1,21.57298532285347,Moderate,17751
University of Johannesburg,3,2.239943375809993,5,12.28681096519219,None,65819
University of KwaZulu-Natal,2,0.6715173386663859,1,4.1735567711027,Severe,10835
University of Pretoria,2,3.026241190988002,0,9.058145956346781,Moderate,34577
University of Cape Town,2,0.1839103545675447,0,14.67798715272556,Severe,77286
Stellenbosch University,3,0.2652223353632412,6,7.712335790362937,Severe,80802
University of Johannesburg,1,2.590119852206252,2,22.65387595766755,Moderate,87228
University of KwaZulu-Natal,3,2.931431928949384,3,14.36496644728205,Moderate,88384
University of Pretoria,1,0.0,3,20.05886612210455,Severe,40536
University of Cape Town,4,2.114433514802353,6,13.10282900782125,None,45868
Stellenbosch University,4,3.309849288943732,1,2.441813496075235,Moderate,58730
University of Johannesburg,4,2.775198810810197,6,19.15536731654887,Moderate,34176
University of KwaZulu-Natal,2,0.2448502489928634,2,22.79915939570229,Severe,84852
University of Pretoria,2,2.003302266018927,5,14.70137511555433,None,60023
University of Cape Town,1,0.7647200280382344,2,4.233661580166966,Severe,73496
Stellenbosch University,4,2.263375865229429,5,2.272777340294731,None,28390
University of Johannesburg,1,2.60015915072485,4,7.392620167633992,Moderate,80992
University of KwaZulu-Natal,1,0.4847593545935188,6,11.19006467283325,Severe,64033
University of Pretoria,3,3.153929628515674,3,3.290520263569423,Moderate,38483
University of Cape Town,1,2.027607464881354,5,16.03032484397628,None,68047
Stellenbosch University,4,1.375494091118916,0,17.0129851666404,None,91461
University of Johannesburg,3,1.978856421875824,4,23.64726781995661,None,47006
University of KwaZulu-Natal,2,0.7370482297421992,5,19.52969628509353,Severe,76706
University of Pretoria,2,0.4045394500786169,2,13.93625188742422,Severe,22280
University of Cape Town,1,0.3964328025193485,2,2.761667917405379,Severe,50209
Stellenbosch University,4,2.009490663262608,5,17.34244979262923,None,31024
University of Johannesburg,1,0.8301802283820581,3,11.99658771515648,Severe,16909
University of KwaZulu-Natal,4,2.691201492330705,1,15.84475894837822,Moderate,17530
University of Pretoria,1,1.687954253632123,4,9.41677397669623,None,76747
University of Cape Town,4,1.072619956081943,0,10.97101406426351,None,72545
Stellenbosch University,2,2.02981011710704,0,18.05233971966615,None,84845
University of Johannesburg,2,0.0,3,17.16281273609597,Severe,91459
University of KwaZulu-Natal,4,2.620194326326996,3,14.19737039455183,Moderate,18807
University of Pretoria,4,0.0,5,14.27195050808732,Severe,27150
University of Cape Town,3,0.1926158379190983,4,16.51107751166914,Severe,28702
Stellenbosch University,4,0.4531266267455755,5,19.00289632265318,Severe,25019
University of Johannesburg,3,3.166248391915076,2,6.980403847144394,Moderate,24370
University of KwaZulu-Natal,1,0.0,5,8.839051129415742,Severe,52645
University of Pretoria,4,0.6301946148583492,4,3.817546939606761,Severe,95379
University of Cape Town,4,2.85408259672089,0,5.276581488332991,Moderate,91477
Stellenbosch University,1,1.648795330718817,5,5.625862805701304,None,79398
University of Johannesburg,3,3.872821480449867,0,11.73497725925475,Moderate,60465
University of KwaZulu-Natal,3,3.230132642587195,0,7.421839958225264,Moderate,70016
University of Pretoria,4,0.0,4,18.90899601765639,Severe,94175
University of Cape Town,3,2.963399042681576,6,10.69486683272377,Moderate,68655
Stellenbosch University,1,2.929944500281326,5,12.33635432508171,Moderate,68196
University of Johannesburg,2,2.097998783761971,4,11.96460513665292,None,57977
University of KwaZulu-Natal,4,1.166754089854337,4,1.20955587828466,None,76091
University of Pretoria,4,1.545090334415767,6,15.26550340785545,None,79394
University of Cape Town,1,1.972878397400814,2,17.4618840281351,None,20857
Stellenbosch University,4,1.731611915852036,6,8.05363474248282,None,38490
University of Johannesburg,2,1.614889628181912,1,4.342771360264642,None,44397
University of KwaZulu-Natal,1,0.0,6,14.82620406648352,Severe,71654
University of Pretoria,3,1.325415126060109,3,13.23953708759788,None,84924
University of Cape Town,1,1.549947759943792,2,9.688037583579625,None,13971
Stellenbosch University,4,1.403514474323244,2,14.67962416821235,None,75706
University of Johannesburg,1,2.690693811011788,3,1.936511304285985,Moderate,39813
University of KwaZulu-Natal,1,1.352219934343725,4,6.50193092687448,None,14690
University of Pretoria,4,0.0,5,19.0168122065129,Severe,22338
University of Cape Town,1,2.058717591894761,6,22.61066265141416,None,28618
Stellenbosch University,3,1.557349964941643,5,19.72511558170742,None,87258
University of Johannesburg,4,2.81766158468993,2,0.2988912066049236,Moderate,66576
University of KwaZulu-Natal,4,2.852271238973494,5,8.952841981176096,Moderate,21305
University of Pretoria,3,2.610393825727429,0,14.64661639814857,Moderate,11201
University of Cape Town,4,3.068464325453179,6,5.547092161109989,Moderate,44784
